id,animal_name,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,class_type
1,penguin,falso,vero,vero,falso,falso,vero,vero,falso,vero,vero,falso,falso,2,vero,falso,vero,uccello
2,giraffe,vero,falso,falso,vero,falso,falso,falso,vero,vero,vero,falso,falso,4,vero,falso,vero,mammifero
3,goat,vero,falso,falso,vero,falso,falso,falso,vero,vero,vero,falso,falso,4,vero,vero,vero,mammifero
4,lion,vero,falso,falso,vero,falso,falso,vero,vero,vero,vero,falso,falso,4,vero,vero,vero,mammifero
5,elephant,vero,falso,falso,vero,falso,falso,falso,vero,vero,vero,falso,falso,4,vero,vero,vero,mammifero
6,gorilla,vero,falso,falso,vero,falso,falso,falso,vero,vero,vero,falso,falso,2,falso,falso,vero,mammifero
7,cheetah,vero,falso,falso,vero,falso,falso,vero,vero,vero,vero,falso,falso,4,vero,vero,vero,mammifero
8,panda,falso,falso,falso,vero,falso,falso,falso,vero,vero,vero,falso,falso,4,vero,falso,falso,mammifero
9,dolphin,falso,falso,falso,vero,falso,vero,vero,vero,vero,vero,falso,vero,0,vero,falso,vero,mammifero
10,alligator,falso,falso,vero,falso,falso,vero,vero,vero,vero,vero,falso,falso,4,vero,falso,falso,mammifero
11,zebra,falso,falso,falso,vero,falso,falso,falso,vero,vero,vero,falso,falso,4,vero,falso,falso,mammifero
12,flamingo,falso,vero,vero,falso,vero,falso,falso,falso,vero,vero,falso,falso,2,vero,falso,vero,uccello
13,bear,vero,falso,falso,vero,falso,falso,vero,vero,vero,vero,falso,falso,4,falso,falso,vero,mammifero
14,fruitbat,vero,falso,falso,vero,vero,falso,falso,vero,vero,vero,falso,falso,2,vero,falso,falso,mammifero
15,platypus,vero,falso,vero,vero,falso,vero,vero,falso,vero,vero,falso,falso,4,vero,falso,vero,mammifero
